TIME,BLINK_CNT,EAR,TIME_ELP,BLNKRATE,TIME,TIME,BLNKRATE,BLINK_CNT,,,,,,,,,,
26:31.2,1,0.23,10,6,13:26:31,13:26:31,6,1,,,,,,,,,,
26:32.9,2,0.21,11,11,13:26:33,13:26:33,11,2,,,,,,,,,,
26:33.7,3,0.23,12,15,13:26:34,13:26:34,15,3,,,,,,,,,Row Labels,Average of BLNKRATE
26:34.0,4,0.22,12,19,13:26:34,13:26:34,19,4,,,,,,,,,13:26:31,6
26:34.2,5,0.22,13,24,13:26:34,13:26:34,24,5,,,,,,,,,13:26:33,11
26:35.2,6,0.23,14,26,13:26:35,13:26:35,26,6,,,,,,,,,13:26:34,19.33333333
26:36.6,7,0.23,15,28,13:26:37,13:26:37,28,7,,,,,,,,,13:26:35,26
26:37.6,8,0.23,16,30,13:26:38,13:26:38,30,8,,,,,,,,,13:26:37,28
26:37.8,9,0.22,16,33,13:26:38,13:26:38,33,9,,,,,,,,,13:26:38,36.6
26:37.9,10,0.22,16,37,13:26:38,13:26:38,37,10,,,,,,,,,13:26:39,50.25
26:38.2,11,0.23,17,40,13:26:38,13:26:38,40,11,,,,,,,,,13:26:40,58.66666667
26:38.3,12,0.22,17,43,13:26:38,13:26:38,43,12,,,,,,,,,13:26:41,62
26:38.6,13,0.22,17,46,13:26:39,13:26:39,46,13,,,,,,,,,13:26:43,62
26:38.9,14,0.23,17,49,13:26:39,13:26:39,49,14,,,,,,,,,13:26:44,63.5
26:39.0,15,0.23,17,52,13:26:39,13:26:39,52,15,,,,,,,,,13:26:45,63
26:39.4,16,0.22,18,54,13:26:39,13:26:39,54,16,,,,,,,,,13:26:46,64.5
26:39.7,17,0.22,18,56,13:26:40,13:26:40,56,17,,,,,,,,,13:26:47,67.5
26:39.8,18,0.21,18,59,13:26:40,13:26:40,59,18,,,,,,,,,13:26:48,71.25
26:40.2,19,0.22,19,61,13:26:40,13:26:40,61,19,,,,,,,,,13:26:49,75
26:41.3,20,0.22,20,61,13:26:41,13:26:41,61,20,,,,,,,,,13:26:51,74
26:41.5,21,0.22,20,63,13:26:41,13:26:41,63,21,,,,,,,,,13:26:52,75
26:42.9,22,0.22,21,62,13:26:43,13:26:43,62,22,,,,,,,,,13:26:53,77
26:43.5,23,0.22,22,63,13:26:44,13:26:44,63,23,,,,,,,,,13:26:54,81
26:44.2,24,0.22,23,64,13:26:44,13:26:44,64,24,,,,,,,,,13:26:55,87
26:45.2,25,0.23,24,63,13:26:45,13:26:45,63,25,,,,,,,,,13:26:56,92.4
26:45.9,26,0.23,24,64,13:26:46,13:26:46,64,26,,,,,,,,,13:26:57,96.66666667
26:46.5,27,0.22,25,65,13:26:46,13:26:46,65,27,,,,,,,,,13:26:58,96
26:46.8,28,0.23,25,67,13:26:47,13:26:47,67,28,,,,,,,,,13:26:59,97.5
26:47.3,29,0.21,26,68,13:26:47,13:26:47,68,29,,,,,,,,,13:27:00,97
26:47.9,30,0.21,26,68,13:26:48,13:26:48,68,30,,,,,,,,,13:27:03,91
26:48.0,31,0.19,26,71,13:26:48,13:26:48,71,31,,,,,,,,,13:27:04,91.5
26:48.3,32,0.22,27,72,13:26:48,13:26:48,72,32,,,,,,,,,13:27:05,90
26:48.5,33,0.22,27,74,13:26:48,13:26:48,74,33,,,,,,,,,13:27:06,91
26:49.0,34,0.22,27,74,13:26:49,13:26:49,74,34,,,,,,,,,13:27:07,91.5
26:49.1,35,0.23,28,76,13:26:49,13:26:49,76,35,,,,,,,,,13:27:08,91
26:51.0,36,0.23,29,73,13:26:51,13:26:51,73,36,,,,,,,,,13:27:09,92.33333333
26:51.3,37,0.23,30,75,13:26:51,13:26:51,75,37,,,,,,,,,13:27:10,94
26:52.1,38,0.23,31,75,13:26:52,13:26:52,75,38,,,,,,,,,13:27:11,95
26:52.5,39,0.23,31,76,13:26:53,13:26:53,76,39,,,,,,,,,13:27:13,94
26:52.9,40,0.22,31,77,13:26:53,13:26:53,77,40,,,,,,,,,13:27:14,95
26:53.2,41,0.21,32,78,13:26:53,13:26:53,78,41,,,,,,,,,13:27:15,94
26:53.8,42,0.21,32,78,13:26:54,13:26:54,78,42,,,,,,,,,13:27:16,95.6
26:54.0,43,0.21,32,80,13:26:54,13:26:54,80,43,,,,,,,,,13:27:17,99.25
26:54.2,44,0.21,33,81,13:26:54,13:26:54,81,44,,,,,,,,,13:27:18,101.5
26:54.3,45,0.21,33,82,13:26:54,13:26:54,82,45,,,,,,,,,13:27:19,104.4
26:54.5,46,0.23,33,84,13:26:54,13:26:54,84,46,,,,,,,,,13:27:20,106.6666667
26:54.7,47,0.21,33,85,13:26:55,13:26:55,85,47,,,,,,,,,13:27:21,108.3333333
26:54.8,48,0.22,33,87,13:26:55,13:26:55,87,48,,,,,,,,,13:27:22,109
26:55.2,49,0.21,34,87,13:26:55,13:26:55,87,49,,,,,,,,,13:27:23,110.4
26:55.4,50,0.21,34,89,13:26:55,13:26:55,89,50,,,,,,,,,13:27:24,112.75
26:55.6,51,0.23,34,90,13:26:56,13:26:56,90,51,,,,,,,,,13:27:25,113.5
26:55.8,52,0.23,34,91,13:26:56,13:26:56,91,52,,,,,,,,,13:27:26,113
26:56.0,53,0.2,34,92,13:26:56,13:26:56,92,53,,,,,,,,,13:27:27,114
26:56.2,54,0.21,35,94,13:26:56,13:26:56,94,54,,,,,,,,,13:27:28,116.25
26:56.4,55,0.21,35,95,13:26:56,13:26:56,95,55,,,,,,,,,13:27:29,117.3333333
26:56.7,56,0.23,35,96,13:26:57,13:26:57,96,56,,,,,,,,,13:27:30,118
26:57.1,57,0.23,36,96,13:26:57,13:26:57,96,57,,,,,,,,,13:27:31,119.5
26:57.2,58,0.21,36,98,13:26:57,13:26:57,98,58,,,,,,,,,13:27:32,120.5
26:58.4,59,0.23,37,96,13:26:58,13:26:58,96,59,,,,,,,,,13:27:33,121
26:58.6,60,0.22,37,97,13:26:59,13:26:59,97,60,,,,,,,,,13:27:34,120.6666667
26:59.0,61,0.22,37,98,13:26:59,13:26:59,98,61,,,,,,,,,13:27:35,123.3333333
26:59.9,62,0.23,38,97,13:27:00,13:27:00,97,62,,,,,,,,,13:27:37,123
27:03.1,63,0.22,42,91,13:27:03,13:27:03,91,63,,,,,,,,,13:27:38,123
27:03.8,64,0.21,42,91,13:27:04,13:27:04,91,64,,,,,,,,,13:27:39,123.6666667
