TIME,TIME,TIME,DELTA,THETA,ALPHA,BETA,GAMMA,Beta/Alpha,Alpha/Theta,Beta/Theta
26:31.4,13:26:31,13:26:31,162.73,220.93,501.69,10455.82,2849.35,20.84,2.27,47.33
26:41.4,13:26:41,13:26:41,134.34,321.75,609.48,10507.66,3127.82,17.24,1.89,32.66
26:51.4,13:26:51,13:26:51,121.99,274.01,883.71,10630.6,3423.22,12.03,3.23,38.8
27:01.4,13:27:01,13:27:01,136.06,225.86,499.16,10403.55,3131.97,20.84,2.21,46.06
27:11.4,13:27:11,13:27:11,1674.48,574.75,529.7,10311.61,3257.65,19.47,0.92,17.94
27:21.4,13:27:21,13:27:21,161.91,262.28,869.49,10095.71,2955.72,11.61,3.32,38.49
27:31.4,13:27:31,13:27:31,126.69,245.01,631.19,10568.32,3100.63,16.74,2.58,43.13
27:41.4,13:27:41,13:27:41,185.69,247.35,478.17,10317.69,2882.54,21.58,1.93,41.71
27:51.4,13:27:51,13:27:51,170.2,320.15,1169.37,9336.83,2804.97,7.98,3.65,29.16
28:01.4,13:28:01,13:28:01,194.19,304.3,849.44,9107.9,2995.27,10.72,2.79,29.93
28:11.4,13:28:11,13:28:11,166.09,215.5,644.06,9161.65,2916.75,14.22,2.99,42.51
28:21.4,13:28:21,13:28:21,140.77,200.18,1127.05,9090.39,2947.7,8.07,5.63,45.41
28:31.4,13:28:31,13:28:31,152.23,141.09,852.3,7782.32,2995.5,9.13,6.04,55.16
28:41.4,13:28:41,13:28:41,173.3,259.62,598.04,7944.45,2934.88,13.28,2.3,30.6
28:51.4,13:28:51,13:28:51,177.52,225.16,986.28,7932.15,3180.69,8.04,4.38,35.23
29:01.4,13:29:01,13:29:01,198.43,242.68,994.08,7965.07,2688.67,8.01,4.1,32.82
29:11.4,13:29:11,13:29:11,218.84,209.62,507.52,7512.16,2959.3,14.8,2.42,35.84
29:21.4,13:29:21,13:29:21,242.55,237.52,1048.05,7622.14,3209.51,7.27,4.41,32.09
29:31.4,13:29:31,13:29:31,238.56,211,1086.54,7157.96,3162.79,6.59,5.15,33.92
29:41.4,13:29:41,13:29:41,212.33,246.82,597.68,6811.66,3145.47,11.4,2.42,27.6
29:51.4,13:29:51,13:29:51,231.28,203.89,864.3,6799.56,3440.05,7.87,4.24,33.35
30:01.4,13:30:01,13:30:01,8314.73,2321,1360.65,5861.92,3420.39,4.31,0.59,2.53
30:11.4,13:30:11,13:30:11,4001.67,1233.99,736.06,6835.57,3498.69,9.29,0.6,5.54
30:21.4,13:30:21,13:30:21,213.7,233.3,791.02,6454.61,3351.69,8.16,3.39,27.67
30:31.5,13:30:32,13:30:32,175.72,185.62,1083.39,6465.49,3088.71,5.97,5.84,34.83
30:41.5,13:30:42,13:30:42,172.96,193.32,875.75,6815.31,3160.51,7.78,4.53,35.25
30:51.5,13:30:52,13:30:52,190.92,220.43,741.66,6623.63,3224.27,8.93,3.36,30.05
31:01.5,13:31:02,13:31:02,781.27,337.32,1115.12,6713.63,3275.23,6.02,3.31,19.9
31:11.5,13:31:12,13:31:12,206.09,195.12,946.04,6515.38,3244.38,6.89,4.85,33.39
31:21.5,13:31:22,13:31:22,183.64,167.85,613.24,6351.8,3333.49,10.36,3.65,37.84
31:31.5,13:31:32,13:31:32,201.74,178.95,997.61,6384.77,3311.22,6.4,5.57,35.68
31:41.5,13:31:42,13:31:42,167.86,226.99,1058.04,6283.55,2985.12,5.94,4.66,27.68
31:51.5,13:31:52,13:31:52,124.34,183.63,615.44,7061.28,2908.59,11.47,3.35,38.45
32:01.5,13:32:02,13:32:02,200.45,217.24,887.1,7381.76,2730.42,8.32,4.08,33.98
32:11.5,13:32:12,13:32:12,224.54,205.19,899.47,7368.87,2811.06,8.19,4.38,35.91
32:21.5,13:32:22,13:32:22,362.02,236.93,645.88,7816.01,2880.22,12.1,2.73,32.99
32:31.5,13:32:32,13:32:32,298.51,290.92,817.84,7122.14,2935.08,8.71,2.81,24.48
38:52.6,13:38:53,13:38:53,4519.2,818.06,535.17,6103.53,1705.75,11.4,0.65,7.46
39:02.6,13:39:03,13:39:03,8681.08,2756.09,718.02,7617.19,2371.26,10.61,0.26,2.76
39:12.6,13:39:13,13:39:13,9288.23,1342.7,635.89,6525.61,2064.73,10.26,0.47,4.86
39:22.6,13:39:23,13:39:23,6222.67,880.88,661.39,6827.59,2031.93,10.32,0.75,7.75
39:32.6,13:39:33,13:39:33,2455.64,610.78,450.14,7717.89,1849.09,17.15,0.74,12.64
39:42.6,13:39:43,13:39:43,1786.07,611.48,697.36,8415.03,2106.84,12.07,1.14,13.76
39:52.6,13:39:53,13:39:53,2488.32,848.14,584.68,8031.34,1876.46,13.74,0.69,9.47
40:02.6,13:40:03,13:40:03,2449.71,459.74,406.95,8597.25,2167.26,21.13,0.89,18.7
40:12.6,13:40:13,13:40:13,2198.84,732.78,620.98,8612.94,2197.03,13.87,0.85,11.75
40:22.6,13:40:23,13:40:23,1215.62,426.15,587.54,8995.4,2060.44,15.31,1.38,21.11
40:32.6,13:40:33,13:40:33,2514.74,417.08,520.68,7928.11,2479.64,15.23,1.25,19.01
40:42.6,13:40:43,13:40:43,846.17,444.04,1000.15,7762.83,2407.5,7.76,2.25,17.48
40:52.6,13:40:53,13:40:53,1679.59,588.73,927.29,8158.97,2475.03,8.8,1.58,13.86
41:02.6,13:41:03,13:41:03,1832.51,539.12,596.24,8059.85,2380.35,13.52,1.11,14.95
41:12.6,13:41:13,13:41:13,1061.29,417.48,842.84,8346.64,2362.66,9.9,2.02,19.99
41:22.6,13:41:23,13:41:23,991.81,408.99,991.27,8719.69,2350.32,8.8,2.42,21.32
41:32.6,13:41:33,13:41:33,511.07,283.49,549.5,8416.87,2509.54,15.32,1.94,29.69
