TIME,TIME,TIME,BPM,IBI,SDNN,SDSD,RMSSD,PNN20,PNN50,HR_MAD,SD1,SD2,S,SD1/SD2,BREATHINGRATE,HR_BRAINFLOW,SPO2
27:26.5,13:27:26,13:27:26,65.68,913.58,38.63,17.97,26.48,0.31,0.08,17,18.72,51.77,3045.42,0.36,0.23,66,100
27:31.5,13:27:32,13:27:32,65.42,917.11,38.91,16.68,24.77,0.29,0.06,17.5,17.51,52.46,2885.61,0.33,0.13,64,100
27:36.6,13:27:37,13:27:37,65.35,918.15,37.89,16.64,24.17,0.28,0.05,15,17.09,51.16,2746.26,0.33,0.13,64,100
27:41.6,13:27:42,13:27:42,65.2,920.26,37.35,16.23,23.41,0.25,0.05,15,16.55,50.25,2612.76,0.33,0.13,64,100
27:46.7,13:27:47,13:27:47,65.04,922.57,37.83,16.09,23.34,0.28,0.05,14,16.5,51.17,2652.38,0.32,0.13,64,100
27:51.8,13:27:52,13:27:52,65.01,922.99,36.95,15.94,23.04,0.31,0.04,14,16.29,49.87,2551.99,0.33,0.13,64,100
27:56.8,13:27:57,13:27:57,64.95,923.82,36.02,15.94,22.81,0.26,0.05,14,16.13,48.58,2461.3,0.33,0.13,64,100
28:01.9,13:28:02,13:28:02,65.04,922.48,36.12,15.54,22.55,0.27,0.04,13.5,15.94,48.41,2425.07,0.33,0.13,64,100
28:07.0,13:28:07,13:28:07,65.1,921.68,36.29,15.85,22.95,0.29,0.06,13.5,16.23,48.86,2491.32,0.33,0.13,64,100
28:12.1,13:28:12,13:28:12,65.27,919.23,37.28,15.83,23.38,0.29,0.04,16,16.52,49.56,2572.68,0.33,0.13,64,100
28:17.1,13:28:17,13:28:17,65.52,915.73,39.61,15.85,23.16,0.29,0.06,19,16.37,53.51,2751.93,0.31,0.13,64,100
28:22.2,13:28:22,13:28:22,65.6,914.64,39.26,15.6,23.38,0.31,0.05,19,16.54,53.23,2765.12,0.31,0.13,64,100
28:27.3,13:28:27,13:28:27,65.68,913.5,39.06,15.47,23.52,0.33,0.05,22,16.63,52.88,2762.84,0.31,0.13,64,100
28:32.4,13:28:32,13:28:32,65.73,912.85,38.56,15.12,23.31,0.35,0.04,23,16.48,52.19,2702.01,0.32,0.13,64,100
28:37.5,13:28:37,13:28:37,65.78,912.19,37.99,15.12,22.96,0.31,0.05,23.5,16.24,51.39,2621.4,0.32,0.13,64,100
28:42.6,13:28:43,13:28:43,65.68,913.47,37.85,15.1,22.96,0.33,0.05,23.5,16.23,51.1,2605.8,0.32,0.23,64,100
28:47.8,13:28:48,13:28:48,65.68,913.46,37.38,14.99,23.06,0.32,0.05,23,16.3,50.44,2583.35,0.32,0.23,64,100
28:52.9,13:28:53,13:28:53,65.7,913.23,36.86,14.93,23.12,0.34,0.05,22,16.35,49.67,2550.81,0.33,0.23,64,100
28:58.2,13:28:58,13:28:58,65.63,914.25,36.71,14.86,23.08,0.34,0.05,23,16.32,49.45,2535.37,0.33,0.23,64,100
29:03.3,13:29:03,13:29:03,65.6,914.59,36.29,14.83,22.87,0.34,0.05,22,16.17,48.86,2482.36,0.33,0.23,64,100
29:08.6,13:29:09,13:29:09,65.78,912.18,38.57,15.01,23.38,0.36,0.05,22.5,16.53,52,2700.25,0.32,0.23,66,100
29:13.7,13:29:14,13:29:14,65.77,912.29,38.4,15.08,23.69,0.38,0.05,22,16.75,51.8,2726.06,0.32,0.23,66,100
29:19.0,13:29:19,13:29:19,65.87,910.94,39.05,15.34,24.1,0.38,0.05,22.5,17.04,52.66,2819.43,0.32,0.23,66,100
29:24.1,13:29:24,13:29:24,65.8,911.89,38.99,15.28,24.04,0.37,0.06,22.5,17,52.57,2807.53,0.32,0.23,66,100
